Week,New,Repeat,Dates,Sum
2.0,24650.0,21450.0,2016-01-11 10:04:00,46100.0
5.0,9400.0,19900.0,2017-02-01 09:54:00,29300.0
6.0,8750.0,12350.0,2016-02-11 15:15:00,21100.0
9.0,7550.0,12950.0,2017-03-01 10:02:00,20500.0
10.0,2600.0,5600.0,2016-03-12 10:08:00,8200.0
13.0,6100.0,8350.0,2017-04-01 10:01:00,14450.0
15.0,9050.0,9300.0,2016-04-12 09:56:00,18350.0
18.0,7750.0,18300.0,2017-05-01 09:31:00,26050.0
19.0,4600.0,7900.0,2016-05-12 09:46:00,12500.0
22.0,5050.0,14400.0,2017-06-01 10:07:00,19450.0
23.0,3250.0,7000.0,2016-06-12 10:09:00,10250.0
26.0,5450.0,12000.0,2017-07-01 12:04:00,17450.0
28.0,3750.0,9300.0,2016-07-12 08:53:00,13050.0
31.0,6200.0,15900.0,2017-08-01 09:48:00,22100.0
32.0,5000.0,11600.0,2016-08-12 10:06:00,16600.0
35.0,4450.0,13300.0,2017-09-01 10:06:00,17750.0
37.0,3350.0,6300.0,2016-09-12 10:44:00,9650.0
39.0,5900.0,18150.0,2017-10-01 09:59:00,24050.0
41.0,64150.0,30000.0,2016-10-12 10:03:00,94150.0
42.0,91400.0,25350.0,2016-10-17 10:43:00,116750.0
43.0,30150.0,8700.0,2016-10-24 14:18:00,38850.0
44.0,25050.0,23600.0,2016-10-31 14:00:00,48650.0
45.0,50150.0,25650.0,2016-11-10 10:17:00,75800.0
46.0,81100.0,55500.0,2016-11-14 10:03:00,136600.0
47.0,88150.0,87400.0,2016-11-21 09:25:00,175550.0
48.0,33100.0,58600.0,2016-11-28 09:53:00,91700.0
49.0,16500.0,2950.0,2016-12-10 10:27:00,19450.0
50.0,44900.0,85250.0,2016-12-12 10:05:00,130150.0
51.0,59650.0,113600.0,2016-12-19 10:00:00,173250.0
52.0,33000.0,76650.0,2016-12-26 10:04:00,109650.0
